mrgid,geoname,sovereign,territory,pol_type,iso_sov1,area_km2
8478,Angolan Exclusive Economic Zone,Angola,Angola,200NM,AGO,495866
8347,Mozambican Exclusive Economic Zone,Mozambique,Mozambique,200NM,MOZ,566292
8349,Kenyan Exclusive Economic Zone,Kenya,Kenya,200NM,KEN,124028
21798,Joint regime area Torres Strait Treaty: Papua New Guinea / Australia,Papua New Guinea,Papua New Guinea,Joint regime,PNG,2621
8384,South African Exclusive Economic Zone (Prince Edward Islands),South Africa,Prince Edward Islands,200NM,ZAF,474897
8479,Tanzanian Exclusive Economic Zone,Tanzania,Tanzania,200NM,TZA,241567
8314,Solomon Islands Exclusive Economic Zone,Solomon Islands,Solomon Islands,200NM,SLB,1602781
8337,Seychellois Exclusive Economic Zone,Seychelles,Seychelles,200NM,SYC,1341524
48945,Overlapping claim Glorioso Islands: France / Madagascar,Madagascar,Glorioso Islands,Overlapping claim,MDG,43506
8341,French Exclusive Economic Zone (Europa Island),France,Europa Island,200NM,FRA,127936
48948,Overlapping claim Matthew and Hunter Islands: France / Vanuatu,France,Matthew and Hunter Islands,Overlapping claim,FRA,187184
8477,Congolese (Democratic Republic of) Exclusive Economic Zone,Democratic Republic of the Congo,Democratic Republic of the Congo,200NM,COD,13373
8323,Australian Exclusive Economic Zone,Australia,Australia,200NM,AUS,6873830
8311,Australian Exclusive Economic Zone (Macquarie Island),Australia,Macquarie Island,200NM,AUS,476278
8339,French Exclusive Economic Zone (Juan de Nova Island),France,Juan de Nova Island,200NM,FRA,62775
8340,French Exclusive Economic Zone (Bassas da India),France,Bassas da India,200NM,FRA,120706
8758,Timorese Exclusive Economic Zone,East Timor,East Timor,200NM,TLS,75647
8412,British Exclusive Economic Zone (Anguilla),United Kingdom,Anguilla,200NM,GBR,90164
8414,Antiguan and Barbudan Exclusive Economic Zone,Antigua and Barbuda,Antigua and Barbuda,200NM,ATG,111568
26519,Dutch Exclusive Economic Zone (Aruba),Netherlands,Aruba,200NM,NLD,30015
8361,Portuguese Exclusive Economic Zone (Azores),Portugal,Azores,200NM,PRT,960421
8404,Bahamian Exclusive Economic Zone,Bahamas,Bahamas,200NM,BHS,619785
8418,Barbadian Exclusive Economic Zone,Barbados,Barbados,200NM,BRB,185007
8429,Mexican Exclusive Economic Zone,Mexico,Mexico,200NM,MEX,3187013
26520,Dutch Exclusive Economic Zone (Bonaire),Netherlands,Bonaire,200NM,NLD,13005
8411,British Exclusive Economic Zone (British Virgin Islands),United Kingdom,British Virgin Islands,200NM,GBR,81555
8362,Cape Verdean Exclusive Economic Zone,Cape Verde,Cape Verde,200NM,CPV,801936
8364,Spanish Exclusive Economic Zone (Canary Islands),Spain,Canary Islands,200NM,ESP,445910
8407,British Exclusive Economic Zone (Cayman Islands),United Kingdom,Cayman Islands,200NM,GBR,118291
8401,French Exclusive Economic Zone (Clipperton Island),France,Clipperton Island,200NM,FRA,435657
8423,Panamanian Exclusive Economic Zone,Panama,Panama,200NM,PAN,331318
8424,Costa Rican Exclusive Economic Zone,Costa Rica,Costa Rica,200NM,CRI,581726
26517,Dutch Exclusive Economic Zone (Curaçao),Netherlands,Curaçao,200NM,NLD,25401
8417,Dominican Exclusive Economic Zone,Dominica,Dominica,200NM,DMA,28552
8409,Dominican (Republic) Exclusive Economic Zone,Dominican Republic,Dominican Republic,200NM,DOM,350694
8430,Guatemalan Exclusive Economic Zone,Guatemala,Guatemala,200NM,GTM,110695
8435,Danish Exclusive Economic Zone (Faeroe),Denmark,Faeroe,200NM,DNK,265326
8370,Gambian Exclusive Economic Zone,Gambia,Gambia,200NM,GMB,23097
8365,Overlapping claim Gibraltar: United Kingdom / Spain,United Kingdom,Gibraltar,Overlapping claim,GIB,388
8419,Grenadian Exclusive Economic Zone,Grenada,Grenada,200NM,GRD,25571
33177,French Exclusive Economic Zone (Guadeloupe),France,Guadeloupe,200NM,FRA,90705
8390,Sierra Leonean Exclusive Economic Zone,Sierra Leone,Sierra Leone,200NM,SLE,160584
5680,Icelandic Exclusive Economic Zone,Iceland,Iceland,200NM,ISL,763239
8459,Jamaican Exclusive Economic Zone,Jamaica,Jamaica,200NM,JAM,256909
8363,Portuguese Exclusive Economic Zone (Madeira),Portugal,Madeira,200NM,PRT,452796
8369,Mauritanian Exclusive Economic Zone,Mauritania,Mauritania,200NM,MRT,173180
8415,British Exclusive Economic Zone (Montserrat),United Kingdom,Montserrat,200NM,GBR,7188
48951,Overlapping claim Navassa Island: United States / Haiti / Jamaica,Haiti,Navassa Island,Overlapping claim,HTI,13890
8443,United States Exclusive Economic Zone (Palmyra Atoll),United States,Palmyra Atoll,200NM,USA,353670
33179,United States Exclusive Economic Zone (Puerto Rico),United States,Puerto Rico,200NM,USA,154661
26518,Dutch Exclusive Economic Zone (Saba),Netherlands,Saba,200NM,NLD,9487
48952,French Exclusive Economic Zone (Saint-Barthélemy),France,Saint-Barthélemy,200NM,FRA,4179
26526,Dutch Exclusive Economic Zone (Sint-Eustatius),Netherlands,Sint-Eustatius,200NM,NLD,2176
8413,Kittitian and Nevisian Exclusive Economic Zone,Saint Kitts and Nevis,Saint Kitts and Nevis,200NM,KNA,9502
8416,Saint Lucian Exclusive Economic Zone,Saint Lucia,Saint Lucia,200NM,LCA,15413
8495,French Exclusive Economic Zone (Collectivity of Saint Martin),France,Collectivity of Saint Martin,200NM,FRA,1100
8494,French Exclusive Economic Zone (Saint-Pierre and Miquelon),France,Saint-Pierre and Miquelon,200NM,FRA,12414
8421,Saint Vincentian Exclusive Economic Zone,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,200NM,VCT,36244
21803,Dutch Exclusive Economic Zone (Sint-Maarten),Netherlands,Sint-Maarten,200NM,NLD,466
8420,Trinidadian and Tobagonian Exclusive Economic Zone,Trinidad and Tobago,Trinidad and Tobago,200NM,TTO,76562
8405,British Exclusive Economic Zone (Turks and Caicos Islands),United Kingdom,Turks and Caicos Islands,200NM,GBR,91025
33180,United States Exclusive Economic Zone (United States Virgin Islands),United States,United States Virgin Islands,200NM,USA,38275
5688,Portuguese Exclusive Economic Zone,Portugal,Portugal,200NM,PRT,315501
8428,Salvadoran Exclusive Economic Zone,El Salvador,El Salvador,200NM,SLV,95099
8457,Belizean Exclusive Economic Zone,Belize,Belize,200NM,BLZ,32862
8406,Cuban Exclusive Economic Zone,Cuba,Cuba,200NM,CUB,352259
8408,Haitian Exclusive Economic Zone,Haiti,Haiti,200NM,HTI,103485
33178,French Exclusive Economic Zone (Martinique),France,Martinique,200NM,FRA,47787
48964,Joint regime area: Senegal / Guinea-Bissau,Senegal,Senegal,Joint regime,SEN,63460
48965,Overlapping claim: Venezuela / Netherlands (Aruba) / Dominican Republic,Venezuela,Venezuela,Overlapping claim,VEN,1113
48966,Joint regime area: Spain / France,France,France,Joint regime,FRA,2859
48967,Joint regime area: United Kingdom / Denmark (Faeroe Islands),United Kingdom,United Kingdom,Joint regime,GBR,8011
48943,Overlapping claim: Canada / United States,Canada,Canada,Overlapping claim,CAN,24772
48968,Joint regime area: Costa Rica / Ecuador (Galapagos),Costa Rica,Costa Rica,Joint regime,CRI,17337
8425,Nicaraguan Exclusive Economic Zone,Nicaragua,Nicaragua,200NM,NIC,213813
8460,Guyanese Exclusive Economic Zone,Guyana,Guyana,200NM,GUY,135060
48969,Joint regime area: Barbados / Guyana,Barbados,Barbados,Joint regime,BRB,67
48970,Joint regime area: Dominican Republic / Colombia,Dominican Republic,Dominican Republic,Joint regime,DOM,13111
48971,Overlapping claim: Colombia / Dominican Republic / Venezuela,Colombia,Colombia,Overlapping claim,COL,869
5681,Irish Exclusive Economic Zone,Ireland,Ireland,200NM,IRL,428004
21788,British Exclusive Economic Zone (Guernsey),United Kingdom,Guernsey,200NM,GBR,3680
21789,British Exclusive Economic Zone (Jersey),United Kingdom,Jersey,200NM,GBR,2332
8371,Senegalese Exclusive Economic Zone,Senegal,Senegal,200NM,SEN,158358
8471,Bissau-Guinean Exclusive Economic Zone,Guinea-Bissau,Guinea-Bissau,200NM,GNB,106870
8472,Guinean Exclusive Economic Zone,Guinea,Guinea,200NM,GIN,102163
8473,Ivorian Exclusive Economic Zone,Ivory Coast,Ivory Coast,200NM,CIV,171760
33185,Overlapping claim: Guyana / Trinidad and Tobago / Venezuela,Guyana,Guyana,Overlapping claim,GUY,3612
8391,Liberian Exclusive Economic Zone,Liberia,Liberia,200NM,LBR,251781
21792,Joint regime area: Jamaica / Colombia,Jamaica,Jamaica,Joint regime,JAM,15247
48972,Joint regime area: Honduras / United Kingdom (Cayman Islands),Honduras,Honduras,Joint regime,HND,2075
48973,Joint regime area: Iceland / Denmark (Faeroe Islands),Denmark,Faeroe,Joint regime,DNK,1234
8433,Venezuelan Exclusive Economic Zone,Venezuela,Venezuela,200NM,VEN,472546
8427,Honduran Exclusive Economic Zone,Honduras,Honduras,200NM,HND,208636
48974,Joint regime area: Ecuador / Colombia,Ecuador,Ecuador,Joint regime,ECU,18663
48975,Joint regime area: Iceland / Norway (Jan Mayen),Iceland,Iceland,Joint regime,ISL,45532
8493,Canadian Exclusive Economic Zone,Canada,Canada,200NM,CAN,5740658
8368,Overlapping claim Western Sahara: Western Sahara / Morocco,Western Sahara,Western Sahara,Overlapping claim,ESH,284054
8461,Surinamese Exclusive Economic Zone,Suriname,Suriname,200NM,SUR,133668
8462,French Exclusive Economic Zone (French Guiana),France,French Guiana,200NM,FRA,131247
48982,Overlapping claim: United States (Puerto Rico) / Dominican Republic,United States,Puerto Rico,Overlapping claim,USA,18297
8452,United States Exclusive Economic Zone (Johnston Atoll),United States,Johnston Atoll,200NM,USA,442443
8426,Colombian Exclusive Economic Zone,Colombia,Colombia,200NM,COL,718338
62596,Colombian Exclusive Economic Zone (Serrana Bank),Colombia,Serrana Bank,200NM,COL,2838
62598,Colombian Exclusive Economic Zone (Quitasueño Bank),Colombia,Quitasueño Bank,200NM,COL,3689
48984,Colombian Exclusive Economic Zone (Serranilla Bank),Colombia,Serranilla Bank,200NM,COL,1552
48985,Colombian Exclusive Economic Zone (Bajo Nuevo Bank),Colombia,Bajo Nuevo Bank,200NM,COL,1550
8367,Moroccan Exclusive Economic Zone,Morocco,Morocco,200NM,MAR,280452
49000,Overlapping claim Melilla: Spain / Morocco,Spain,Melilla,Overlapping claim,ESP,27
49001,Overlapping claim Alhucemas Islands: Spain / Morocco,Spain,Alhucemas Islands,Overlapping claim,ESP,14
48998,Overlapping claim Perejil Island: Spain / Morocco,Spain,Perejil Island,Overlapping claim,ESP,1
49002,Overlapping claim Ceuta: Spain / Morocco,Spain,Ceuta,Overlapping claim,ESP,33
48999,Overlapping claim Peñón de Vélez de la Gomera: Spain / Morocco,Spain,Peñón de Vélez de la Gomera,Overlapping claim,ESP,4
48997,Overlapping claim Chafarinas Islands: Spain / Morocco,Spain,Chafarinas Islands,Overlapping claim,ESP,26
8360,Emirati Exclusive Economic Zone,United Arab Emirates,United Arab Emirates,200NM,ARE,51674
8376,Cypriote Exclusive Economic Zone,Cyprus,Cyprus,200NM,CYP,98450
48947,"Overlapping claim Abu musa, Greater and Lesser Tunb: United Arab Emirates / Iran",United Arab Emirates,"Abu musa, Greater and Lesser Tunb",Overlapping claim,ARE,6173
48956,Overlapping claim Doumeira Islands: Eritrea / Djibouti,Eritrea,Doumeira Islands,Overlapping claim,ERI,245
8490,Egyptian Exclusive Economic Zone,Egypt,Egypt,200NM,EGY,242929
8351,Eritrean Exclusive Economic Zone,Eritrea,Eritrea,200NM,ERI,78110
5678,Georgian Exclusive Economic Zone,Georgia,Georgia,200NM,GEO,22944
8469,Iranian Exclusive Economic Zone,Iran,Iran,200NM,IRN,215613
8374,Lebanese Exclusive Economic Zone,Lebanon,Lebanon,200NM,LBN,18857
8372,Libyan Exclusive Economic Zone,Libya,Libya,200NM,LBY,357386
5685,Maltese Exclusive Economic Zone,Malta,Malta,200NM,MLT,52923
8354,Omani Exclusive Economic Zone,Oman,Oman,200NM,OMN,556490
8356,Saudi Arabian Exclusive Economic Zone,Saudi Arabia,Saudi Arabia,200NM,SAU,224157
8346,Sri Lankan Exclusive Economic Zone,Sri Lanka,Sri Lanka,200NM,LKA,533559
8373,Syrian Exclusive Economic Zone,Syria,Syria,200NM,SYR,10269
8392,Togolese Exclusive Economic Zone,Togo,Togo,200NM,TGO,15447
5679,Greek Exclusive Economic Zone,Greece,Greece,200NM,GRC,482936
5697,Turkish Exclusive Economic Zone,Turkey,Turkey,200NM,TUR,262233
21790,Monégasque Exclusive Economic Zone,Monaco,Monaco,200NM,MCO,288
8366,Tunisian Exclusive Economic Zone,Tunisia,Tunisia,200NM,TUN,99701
5691,Montenegrin Exclusive Economic Zone,Montenegro,Montenegro,200NM,MNE,6383
5670,Albanian Exclusive Economic Zone,Albania,Albania,200NM,ALB,12165
5672,Bulgarian Exclusive Economic Zone,Bulgaria,Bulgaria,200NM,BGR,34745
48953,Palestinian Exclusive Economic Zone,Palestine,Palestine,200NM,PSE,1120
8357,Kuwaiti Exclusive Economic Zone,Kuwait,Kuwait,200NM,KWT,10775
8470,Iraqi Exclusive Economic Zone,Iraq,Iraq,200NM,IRQ,1342
8358,Bahraini Exclusive Economic Zone,Bahrain,Bahrain,200NM,BHR,7516
8468,Qatari Exclusive Economic Zone,Qatar,Qatar,200NM,QAT,31363
8353,Yemeni Exclusive Economic Zone,Yemen,Yemen,200NM,YEM,527384
8375,Israeli Exclusive Economic Zone,Israel,Israel,200NM,ISR,25955
8491,Jordanian Exclusive Economic Zone,Jordan,Jordan,200NM,JOR,97
8352,Djiboutian Exclusive Economic Zone,Djibouti,Djibouti,200NM,DJI,7223
8481,Bangladeshi Exclusive Economic Zone,Bangladesh,Bangladesh,200NM,BGD,112166
8474,Nigerian Exclusive Economic Zone,Nigeria,Nigeria,200NM,NGA,179048
8475,Cameroonian Exclusive Economic Zone,Cameroon,Cameroon,200NM,CMR,15143
21797,Joint regime area: São Tomé and Principe / Nigeria,São Tomé and Principe,São Tomé and Principe,Joint regime,STP,34534
48976,Joint regime area: France / Italy,France,France,Joint regime,FRA,67
22491,Bosnian and Herzegovinian Exclusive Economic Zone,Bosnia and Herzegovina,Bosnia and Herzegovina,200NM,BIH,13
48957,United States Exclusive Economic Zone (Guam),United States,Guam,200NM,USA,208234
8318,Marshallese Exclusive Economic Zone,Marshall Islands,Marshall Islands,200NM,MHL,2002220
48980,United States Exclusive Economic Zone (Northern Mariana Islands),United States,Northern Mariana Islands,200NM,USA,763626
8315,Palauan Exclusive Economic Zone,Palau,Palau,200NM,PLW,616431
8322,Philippine Exclusive Economic Zone,Philippines,Philippines,200NM,PHL,1964764
48954,Overlapping claim Senkaku Islands: Taiwan / Japan / China,Taiwan,Senkaku Islands,Overlapping claim,TWN,73794
8485,Singaporean Exclusive Economic Zone,Singapore,Singapore,200NM,SGP,675
8332,Thailand Exclusive Economic Zone,Thailand,Thailand,200NM,THA,298561
8319,Overlapping claim Wake Island / Enenkio: United States / Marshall Islands,United States,Wake Island / Enenkio,Overlapping claim,USA,406970
8484,Vietnamese Exclusive Economic Zone,Vietnam,Vietnam,200NM,VNM,752197
21796,Joint regime area: South Korea / Japan,South Korea,South Korea,Joint regime,KOR,82610
26521,Bruneian Exclusive Economic Zone,Brunei,Brunei,200NM,BRN,43038
8321,Overlapping claim Taiwan: Taiwan / China,Taiwan,Taiwan,Overlapping claim,TWN,355433
8328,North Korean Exclusive Economic Zone,North Korea,North Korea,200NM,PRK,114379
8331,Cambodian Exclusive Economic Zone,Cambodia,Cambodia,200NM,KHM,48697
8486,Chinese Exclusive Economic Zone,China,China,200NM,CHN,963556
5675,Estonian Exclusive Economic Zone,Estonia,Estonia,200NM,EST,36451
5676,Finnish Exclusive Economic Zone,Finland,Finland,200NM,FIN,81553
5694,Swedish Exclusive Economic Zone,Sweden,Sweden,200NM,SWE,155386
5684,Lithuanian Exclusive Economic Zone,Lithuania,Lithuania,200NM,LTU,6864
48977,Joint regime area: Sweden / Norway,Norway,Norway,Joint regime,NOR,140
3293,Belgian Exclusive Economic Zone,Belgium,Belgium,200NM,BEL,3531
5668,Dutch Exclusive Economic Zone,Netherlands,Netherlands,200NM,NLD,64292
5669,German Exclusive Economic Zone,Germany,Germany,200NM,DEU,56831
5674,Danish Exclusive Economic Zone,Denmark,Denmark,200NM,DNK,104229
5683,Latvian Exclusive Economic Zone,Latvia,Latvia,200NM,LVA,28322
5673,Croatian Exclusive Economic Zone,Croatia,Croatia,200NM,HRV,55159
5682,Italian Exclusive Economic Zone,Italy,Italy,200NM,ITA,536446
5695,Overlapping claim Ukraine: Ukraine / Russia,Ukraine,Ukraine,Overlapping claim,UKR,136198
5689,Romanian Exclusive Economic Zone,Romania,Romania,200NM,ROU,29606
8487,Japanese Exclusive Economic Zone,Japan,Japan,200NM,JPN,4066513
48950,Overlapping claim Kuril Islands: Japan / Russia,Japan,Kuril Islands,Overlapping claim,JPN,213723
8333,Indian Exclusive Economic Zone (Andaman and Nicobar Islands),India,Andaman and Nicobar,200NM,IND,664448
8359,Pakistani Exclusive Economic Zone,Pakistan,Pakistan,200NM,PAK,224361
26523,Turkmen Exclusive Economic Zone,Turkmenistan,Turkmenistan,200NM,TKM,61226
26524,Azerbaijani Exclusive Economic Zone,Azerbaijan,Azerbaijan,200NM,AZE,80614
26522,Kazakh Exclusive Economic Zone,Kazakhstan,Kazakhstan,200NM,KAZ,114383
8482,Myanma Exclusive Economic Zone,Myanmar,Myanmar,200NM,MMR,497460
5687,Polish Exclusive Economic Zone,Poland,Poland,200NM,POL,30666
8480,Indian Exclusive Economic Zone,India,India,200NM,IND,1659500
26582,Overlapping claim Halaib Triangle: Sudan / Egypt,Sudan,Halaib Triangle,Overlapping claim,SDN,19734
8393,Beninese Exclusive Economic Zone,Benin,Benin,200NM,BEN,35493
5692,Slovenian Exclusive Economic Zone,Slovenia,Slovenia,200NM,SVN,214
8483,Malaysian Exclusive Economic Zone,Malaysia,Malaysia,200NM,MYS,517589
49003,Overlapping claim: South China Sea,China,China,Overlapping claim,CHN,338839
50167,Joint regime area: Croatia / Slovenia,Croatia,Croatia,Joint regime,HRV,98
8327,South Korean Exclusive Economic Zone,South Korea,South Korea,200NM,KOR,347671
48955,Overlapping claim Liancourt Rocks: Japan / South Korea,Japan,Liancourt Rocks,Overlapping claim,JPN,1624
50170,Overlapping claim: Qatar / Saudi Arabia / United Arab Emirates,Qatar,Qatar,Overlapping claim,QAT,126
8455,New Zealand Exclusive Economic Zone,New Zealand,New Zealand,200NM,NZL,4104551
8442,United States Exclusive Economic Zone (Jarvis Islands),United States,Jarvis Island,200NM,USA,323186
8326,Tuvaluan Exclusive Economic Zone,Tuvalu,Tuvalu,200NM,TUV,753133
8454,French Exclusive Economic Zone (Wallis and Futuna),France,Wallis and Futuna,200NM,FRA,250614
8451,United States Exclusive Economic Zone (Howland and Baker Islands),United States,Howland and Baker Islands,200NM,USA,434894
8325,Fijian Exclusive Economic Zone,Fiji,Fiji,200NM,FJI,1302114
8464,Brazilian Exclusive Economic Zone,Brazil,Brazil,200NM,BRA,3205183
8441,Kiribati Exclusive Economic Zone (Line Group),Kiribati,Line Group,200NM,KIR,1641193
8488,Kiribati Exclusive Economic Zone (Gilbert Islands),Kiribati,Gilbert Islands,200NM,KIR,1053245
8403,Ecuadorian Exclusive Economic Zone (Galapagos),Ecuador,Galapagos,200NM,ECU,841438
8431,Ecuadorian Exclusive Economic Zone,Ecuador,Ecuador,200NM,ECU,236293
8397,São Toméan Exclusive Economic Zone,Sao Tome and Principe,Sao Tome and Principe,200NM,STP,130844
8316,Micronesian Exclusive Economic Zone,Micronesia,Micronesia,200NM,FSM,3007718
8398,Equatorial Guinean Exclusive Economic Zone,Equatorial Guinea,Equatorial Guinea,200NM,GNQ,304133
8345,Maldivian Exclusive Economic Zone,Maldives,Maldives,200NM,MDV,923833
8324,Papua New Guinean Exclusive Economic Zone,Papua New Guinea,Papua New Guinea,200NM,PNG,2399617
8350,Somali Exclusive Economic Zone,Federal Republic of Somalia,Federal Republic of Somalia,200NM,SOM,821444
8317,Nauruan Exclusive Economic Zone,Nauru,Nauru,200NM,NRU,309261
8476,Gabonese Exclusive Economic Zone,Gabon,Gabon,200NM,GAB,201759
8492,Indonesian Exclusive Economic Zone,Indonesia,Indonesia,200NM,IDN,6019205
48978,Joint regime area: United States / Russia,United States,United States,Joint regime,USA,8478
5677,French Exclusive Economic Zone,France,France,200NM,FRA,348474
8378,Algerian Exclusive Economic Zone,Algeria,Algeria,200NM,DZA,131193
8400,Ghanaian Exclusive Economic Zone,Ghana,Ghana,200NM,GHA,227500
8438,Danish Exclusive Economic Zone (Greenland),Denmark,Greenland,200NM,DNK,2268623
5696,British Exclusive Economic Zone,United Kingdom,United Kingdom,200NM,GBR,727260
8453,United States Exclusive Economic Zone (Hawaii),United States,Hawaii,200NM,USA,2474715
33181,Norwegian Exclusive Economic Zone (Svalbard),Norway,Svalbard,200NM,NOR,796819
5686,Norwegian Exclusive Economic Zone,Norway,Norway,200NM,NOR,931288
5690,Russian Exclusive Economic Zone,Russia,Russia,200NM,RUS,7730566
8437,Norwegian Exclusive Economic Zone (Jan Mayen),Norway,Jan Mayen,200NM,NOR,292907
8463,United States Exclusive Economic Zone (Alaska),United States,Alaska,200NM,USA,3682912
5693,Spanish Exclusive Economic Zone,Spain,Spain,200NM,ESP,561763
62589,Mauritian Exclusive Economic Zone (Chagos Archipelago),Republic of Mauritius,Chagos Archipelago,200NM,MUS,647678
8383,Overlapping claim South Georgia and the South Sandwich Islands: United Kingdom / Argentina,United Kingdom,South Georgia and the South Sandwich Islands,Overlapping claim,GBR,1237783
8402,British Exclusive Economic Zone (Bermuda),United Kingdom,Bermuda,200NM,GBR,464389
8456,United States Exclusive Economic Zone,United States,United States,200NM,USA,2450909
8355,Sudanese Exclusive Economic Zone,Sudan,Sudan,200NM,SDN,62826
64446,British Exclusive Economic Zone (Isle of Man),United Kingdom,Isle of Man,200NM,GBR,3961
64460,Overlapping claim: Iraq / Iran,Iraq,Iraq,Overlapping claim,IRQ,28
64430,Overlapping claim: Egypt / Libya,Egypt,Egypt,Overlapping claim,EGY,8114
64431,Overlapping claim: Belize / Honduras,Belize,Belize,Overlapping claim,BLZ,1450
64459,Joint regime area: Norway / Russia,Norway,Norway,Joint regime,NOR,3397
64440,Overlapping claim: Malaysia / Singapore,Malaysia,Malaysia,Overlapping claim,MYS,287
